Timestamp,Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417132800,2022-03-02,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630,
1417219200,2022-03-03,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593,
1417305600,2022-03-04,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427,
1417392000,2022-03-05,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450,
1417478400,2022-03-06,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902,
1417564800,2022-03-07,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503,
1417651200,2022-03-08,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476,
1417737600,2022-03-09,38742.81641,42465.67188,38706.09375,41982.92578,41982.92578,32284121034,
1417824000,2022-03-10,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711,
1417910400,2022-03-11,39439.96875,40081.67969,38347.43359,38794.97266,38794.97266,26364890465,
1417996800,2022-03-12,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657,
1418083200,2022-03-13,38884.72656,39209.35156,37728.14453,37849.66406,37849.66406,17300745310,
1418169600,2022-03-14,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070,
1418256000,2022-03-15,39664.25,39794.62891,38310.21094,39338.78516,39338.78516,23934000868,
1418342400,2022-03-16,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192,
1418428800,2022-03-17,41140.84375,41287.53516,40662.87109,40951.37891,40951.37891,22009601093,
1418515200,2022-03-18,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942,
1418601600,2022-03-19,41794.64844,42316.55469,41602.66797,42190.65234,42190.65234,19664853187,
1418688000,2022-03-20,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682,
1418774400,2022-03-21,41246.13281,41454.41016,40668.04297,41077.99609,41077.99609,24615543271,
1418860800,2022-03-22,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376,
1418947200,2022-03-23,42364.37891,42893.50781,41877.50781,42892.95703,42892.95703,25242943069,
1419033600,2022-03-24,42886.65234,44131.85547,42726.16406,43960.93359,43960.93359,31042992291,
1419120000,2022-03-25,43964.54688,44999.49219,43706.28516,44348.73047,44348.73047,30574413034,
1419206400,2022-03-26,44349.85938,44735.99609,44166.27344,44500.82813,44500.82813,16950455995,
1419292800,2022-03-27,44505.35547,46827.54688,44437.29297,46820.49219,46820.49219,28160889722,
1419379200,2022-03-28,46821.85156,48086.83594,46690.20313,47128.00391,47128.00391,36362175703,
1419465600,2022-03-29,47100.4375,48022.28906,47100.4375,47465.73047,47465.73047,31397059069,
1419552000,2022-03-30,47456.89844,47655.14844,46746.21094,47062.66406,47062.66406,29333883962,
1419638400,2022-03-31,47062.14844,47512.02734,45390.53906,45538.67578,45538.67578,33327427106,
1419724800,2022-04-01,45554.16406,46616.24219,44403.14063,46281.64453,46281.64453,38162644287,
1419811200,2022-04-02,46285.5,47028.28125,45782.51172,45868.94922,45868.94922,29336594194,
1419897600,2022-04-03,45859.12891,47313.47656,45634.10547,46453.56641,46453.56641,25414397610,
1419984000,2022-04-04,46445.27344,46791.08984,45235.81641,46622.67578,46622.67578,32499785455,
1420070400,2022-04-05,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055,
1420156800,2022-04-06,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788,
1420243200,2022-04-07,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106,
1420329600,2022-04-08,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394,
1420416000,2022-04-09,42282.07813,42786.81641,42183.25391,42782.13672,42782.13672,16050772496,
1420502400,2022-04-10,42781.08984,43376.37891,42021.20703,42207.67188,42207.67188,17654475582,
